xcord,ycord,zcord,carbon,year,plot,state,sizeclass,DBH,commonname,scientificname
320409.5075,4092061.548,2009.280029296875,0.065261397,2004,bn2,Live,1,18.3,White Fir,Abies concolor
320409.6875,4092061.018,2009.2900390625,0.002655783,2004,bn2,Dead,1,5,White Fir,Abies concolor
320406.8175,4092057.848,2010.449951171875,1.0858862,2004,bn2,Dead,4,61.5,White Fir,Abies concolor
320409.8175,4092055.848,2009.3900146484375,0.612938498,2004,bn2,Live,3,45.2,White Fir,Abies concolor
320427.8775,4092057.338,2002.050048828125,1.687216638,2004,bn2,Live,4,68,White Fir,Abies concolor
320427.7075,4092058.718,2001.8199462890625,0.220119885,2004,bn2,Live,2,29.9,White Fir,Abies concolor
320426.3075,4092059.448,2002.6700439453125,0.018954434,2004,bn2,Dead,1,11.1,White Fir,Abies concolor
320426.2375,4092059.248,2002.6700439453125,0.003631022,2004,bn2,Dead,1,5.9,White Fir,Abies concolor
320424.9275,4092059.888,2003.0899658203125,1.687216638,2004,bn2,Live,4,68,White Fir,Abies concolor
320430.7175,4092064.738,2000.3199462890625,0.005062932,2004,bn2,Dead,1,6.5,White Fir,Abies concolor
320433.4875,4092065.808,1999.5400390625,0.458375844,2004,bn2,Dead,3,40.2,White Fir,Abies concolor
320432.3675,4092066.078,1999.8399658203125,0.002924375,2004,bn2,Dead,1,5.2,White Fir,Abies concolor
320429.5075,4092066.748,2000.6500244140625,0.002788147,2004,bn2,Dead,1,5.1,White Fir,Abies concolor
320427.0675,4092064.218,2002.06005859375,0.003824892,2004,bn2,Dead,1,5.8,White Fir,Abies concolor
320426.0975,4092064.058,2002.52001953125,0.154224426,2004,bn2,Live,2,25.9,White Fir,Abies concolor
320429.0975,4092068.728,2000.9599609375,0.013586394,2004,bn2,Live,1,9.7,White Fir,Abies concolor
320428.3375,4092071.128,2001.1199951171875,0.003504758,2004,bn2,Live,1,5.3,Incense Cedar,Calocedrus decurrens
320425.3775,4092069.678,2002.550048828125,0.018393819,2004,bn2,Live,1,11.1,Incense Cedar,Calocedrus decurrens
320424.6475,4092072.608,2002.260009765625,0.003963916,2004,bn2,Live,1,5.6,Incense Cedar,Calocedrus decurrens
320425.7075,4092073.038,2001.780029296875,0.333292674,2004,bn2,Dead,2,37.8,Sugar Pine,Pinus lambertiana
320422.1375,4092067.488,2004.0400390625,0.038597839,2004,bn2,Live,1,14.8,White Fir,Abies concolor
320422.0075,4092067.578,2003.97998046875,0.826788232,2004,bn2,Live,3,51,White Fir,Abies concolor
320421.8475,4092066.928,2004.0400390625,0.012348535,2004,bn2,Dead,1,9.6,White Fir,Abies concolor
320422.3175,4092067.068,2004.0400390625,0.011605205,2004,bn2,Dead,1,9.1,White Fir,Abies concolor
320424.3875,4092066.948,2003.260009765625,0.252104031,2004,bn2,Live,2,33.7,Sugar Pine,Pinus lambertiana
320424.6375,4092065.698,2002.8599853515625,0.003508649,2004,bn2,Dead,1,5.6,White Fir,Abies concolor
320423.9875,4092065.568,2003.280029296875,0.013934835,2004,bn2,Live,1,9.8,White Fir,Abies concolor
320419.6675,4092065.448,2004.97998046875,0.596268615,2004,bn2,Live,3,44.7,White Fir,Abies concolor
320420.5975,4092062.568,2004.7900390625,0.2544257,2004,bn2,Live,2,31.7,White Fir,Abies concolor
320418.2875,4092066.038,2005.81005859375,0.123786743,2004,bn2,Live,2,23.7,White Fir,Abies concolor
320418.0175,4092066.628,2005.72998046875,0.097565118,2004,bn2,Dead,2,22,White Fir,Abies concolor
320417.7875,4092068.128,2005.6700439453125,0.258421537,2004,bn2,Live,2,31.9,White Fir,Abies concolor
320414.2175,4092060.268,2007.6500244140625,0.03100556,2004,bn2,Live,1,14,Incense Cedar,Calocedrus decurrens
320416.8475,4092056.298,2006.5999755859375,0.055286679,2004,bn2,Live,1,18.1,Incense Cedar,Calocedrus decurrens
320420.2775,4092058.068,2005.260009765625,0.007856095,2004,bn2,Live,1,7.6,Incense Cedar,Calocedrus decurrens
320410.4475,4092049.308,2009.6400146484375,0.130549619,2004,bn2,Live,2,26.5,Incense Cedar,Calocedrus decurrens
320411.6275,4092048.888,2008.81005859375,0.722489021,2004,bn2,Live,3,48.3,White Fir,Abies concolor
320411.8675,4092048.428,2008.9100341796875,0.017713935,2004,bn2,Live,1,10.8,White Fir,Abies concolor
320417.8175,4092041.528,2007.1099853515625,0.008708073,2004,bn2,Live,1,8.1,White Fir,Abies concolor
320418.4275,4092041.848,2007.1099853515625,0.00607676,2004,bn2,Dead,1,7,White Fir,Abies concolor
320420.2375,4092045.198,2006.280029296875,0.013882903,2004,bn2,Live,1,8.3,Canyon Live Oak,Quercus chrysolepis
320428.4275,4092047.528,2002.8499755859375,0.258421537,2004,bn2,Live,2,31.9,White Fir,Abies concolor
320428.4675,4092045.518,2003.1099853515625,0.274778313,2004,bn2,Live,2,32.7,White Fir,Abies concolor
320429.4175,4092047.278,2002.719970703125,0.041795423,2004,bn2,Dead,1,16.4,Incense Cedar,Calocedrus decurrens
320429.5975,4092046.678,2002.2900390625,0.036237314,2004,bn2,Dead,1,15.4,Incense Cedar,Calocedrus decurrens
320429.8675,4092045.338,2002.280029296875,0.074446963,2004,bn2,Live,1,19.3,White Fir,Abies concolor
320437.7275,4092049.788,1998.3699951171875,2.377427458,2004,bn2,Dead,6,110,Incense Cedar,Calocedrus decurrens
320438.0775,4092054.418,1998.22998046875,2.817868079,2004,bn2,Live,5,90.9,Sugar Pine,Pinus lambertiana
320438.2675,4092053.908,1998.22998046875,0.291737912,2004,bn2,Live,2,33.5,White Fir,Abies concolor
320438.8975,4092055.508,1997.6300048828125,0.177303755,2004,bn2,Live,2,27.4,White Fir,Abies concolor
320438.3675,4092057.508,1997.9200439453125,0.003064505,2004,bn2,Dead,1,5.3,White Fir,Abies concolor
320425.0175,4092044.058,2004.1700439453125,0.270437627,2004,bn2,Live,2,36.6,Incense Cedar,Calocedrus decurrens
320424.3575,4092040.398,2004.6099853515625,1.905482685,2004,bn2,Live,4,77.4,Jeffrey Pine,Pinus jeffreyi
320430.8675,4092033.248,2001.6099853515625,0.007442034,2004,bn2,Live,1,7.6,White Fir,Abies concolor
320431.7975,4092031.268,2001.27001953125,0.025926658,2004,bn2,Live,1,12.6,White Fir,Abies concolor
320430.7275,4092027.128,2002.1099853515625,0.137127576,2004,bn2,Live,2,24.7,White Fir,Abies concolor
320422.9075,4092014.888,2005.4200439453125,3.234566472,2004,bn2,Live,5,96.2,Sugar Pine,Pinus lambertiana
320388.8475,4092068.968,2015.97998046875,0.031887076,2004,bn2,Live,1,13.7,White Fir,Abies concolor
320388.5075,4092067.008,2016.0999755859375,0.495998557,2004,bn2,Live,3,41.5,White Fir,Abies concolor
